Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
TRBV5-5		NG_001333	28610
TRBV5-6		NG_001333	28609
TRBV5-7		NG_001333	28608
TRBV5-8		NG_001333	28607
TRBV6-1		NG_001333	28606
TRBV6-2		NG_001333	28605
TRBV6-3		NG_001333	28604
TRBV6-4		NG_001333	28603
TRBV6-5		NG_001333	28602
TRBV6-6		NG_001333	28601
TRBV6-7		NG_001333	28600
TRBV6-8		NG_001333	28599
TRBV6-9		NG_001333	28598
TRBV7-1		NG_001333	28597
TRBV7-2		NG_001333	28596
TRBV7-3		NG_001333	28595
TRBV7-4		NG_001333	28594
TRBV7-5		NG_001333	28593
TRBV7-6		NG_001333	28592
TRBV7-7		NG_001333	28591
TRBV7-8		NG_001333	28590
TRBV7-9		NG_001333	28589
TRBV8-1		NG_001333	28588
TRBV8-2		NG_001333	28587
TRBV9		NG_001333	28586
TRBV10-1		NG_001333	28585
TRBV10-2		NG_001333	28584
TRBV10-3		NG_001333	28583
TRBV11-1		NG_001333	28582
TRBV11-2		NG_001333	28581
TRBV11-3		NG_001333	28580
TRBV12-1		NG_001333	28579
TRBV12-2		NG_001333	28578
TRBV12-3		NG_001333	28577
TRBV12-4		NG_001333	28576
TRBV12-5		NG_001333	28575
TRBV13		NG_001333	28574
TRBV14		NG_001333	28573
TRBV15		NG_001333	28572
TRBV16		NG_001333	28571
TRBV17		NG_001333	28570
TRBV18		NG_001333	28569
TRBV19		NG_001333	28568
TRBV20-1		NG_001333	28567
TRBV20OR9-2	TCRBV2O	NG_001337	6962
TRBV21-1		NG_001333	28566
TRBV21OR9-2	TCRBV10O	NG_001337	6959
TRBV22-1	TRBV22	NG_001333	28565
TRBV22OR9-2		NG_001337	246283
TRBV23-1		NG_001333	28564
TRBV23OR9-2		NG_001337	28552
TRBV24-1		NG_001333	28563
TRBV24OR9-2	TCRBV15O	NG_001337	6961
TRBV25-1		NG_001333	28562
TRBV25OR9-2	TCRBV11O	NG_001337	6960
TRBV26		NG_001333	28561
TRBV26OR9-2		NG_001337	246285
TRBV27		NG_001333	28560
TRBV28		NG_001333	28559
TRBV29-1		NG_001333	28558
TRBV29OR9-2	TCRBV4O	NG_001337	6958
TRBV30		NG_001333	28557
TRBVA		NG_001333	28556
TRBVAOR9-2			246286
TRBVB		NG_001333	28555
TRBVC			103106900
TRBVOR9@	TCRBVO@		
TRC-ACA1-1	TRNAC32P	NG_008566	100189508
TRC-GCA1-1	TRNAC10		100189144
TRC-GCA2-1	TRNAC16, TRC-GCA2-4		100189197
TRC-GCA2-2	TRNAC5, TRC-GCA2-1		100189052
TRC-GCA2-3	TRNAC9, TRC-GCA2-2		100189105
TRC-GCA2-4	TRNAC29, TRC-GCA2-3		100189414
TRC-GCA3-1	TRNAC8		100189097
TRC-GCA4-1	TRNAC7		100189090
TRC-GCA5-1	TRNAC12		100189155
TRC-GCA6-1	TRNAC14		100189179
TRC-GCA7-1	TRNAC33		103456508
TRC-GCA8-1	TRNAC24		100189359
TRC-GCA9-1	TRNAC18		100189250
TRC-GCA9-2	TRNAC28		100189413
TRC-GCA9-3	TRNAC26		100189376
TRC-GCA9-4	TRNAC27		100189379
TRC-GCA10-1	TRNAC21		100189305
TRC-GCA11-1	TRNAC2		100189008
TRC-GCA12-1	TRNAC6		100189075
TRC-GCA13-1	TRNAC23		100189357
TRC-GCA14-1	TRNAC30		100189435
TRC-GCA15-1	TRNAC19		100189267
TRC-GCA16-1	TRNAC11		100189146
TRC-GCA17-1	TRNAC20		100189289
TRC-GCA18-1	TRNAC4		100189049
TRC-GCA19-1	TRNAC13		100189177
TRC-GCA20-1	TRNAC22		100189355
TRC-GCA21-1	TRNAC25		100189375
TRC-GCA22-1	TRNAC3		100189029
TRC-GCA23-1	TRNAC15		100189194
TRC-GCA24-1	TRC, TRNAC1		7183
TRC-GCA25-1	TRNAC31P	NG_008503	100189447
TRD	TCRD, TRD@	NG_001332	6964
TRD-GTC1-1	TRNAD10		100189207
TRD-GTC2-1	TRNAD18		100189412
TRD-GTC2-2	TRNAD11		100189235
TRD-GTC2-3	TRNAD13		100189290
TRD-GTC2-4	TRNAD6		100189134
TRD-GTC2-5	TRNAD5		100189120
TRD-GTC2-6	TRNAD8, TRD-GTC2-10		100189158
TRD-GTC2-7	TRNAD14, TRD-GTC2-11		100189292
TRD-GTC2-8	TRNAD12, TRD-GTC2-6		100189239
TRD-GTC2-9	TRNAD15, TRD-GTC2-7		100189343
TRD-GTC2-10	TRNAD16, TRD-GTC2-8		100189347
TRD-GTC2-11	TRNAD17, TRD-GTC2-9		100189383
TRD-GTC3-1	TRNAD9		100189200
TRD-GTC4-1	TRNAD2		100188994
TRD-GTC5-1	TRNAD3		100189061
TRD-GTC6-1	TRNAD7		100189150
TRD-GTC7-1	TRNAD4		100189087
TRD-GTC8-1	TRNAD19		100189431
TRD-GTC9-1	TRD, TRNAD1		7192
TRD-GTC10-1	TRNAD20P		100189495
TRDC		NG_001332	28526
TRDD1		NG_001332	28525
TRDD2		NG_001332	28524
TRDD3		NG_001332	28523
TRDJ1		NG_001332	28522
TRDJ2		NG_001332	28521
TRDJ3		NG_001332	28520
TRDJ4		NG_001332	28519
TRDMT1	DNMT2	NM_004412	1787
TRDN			10345
TRDN-AS1		NR_110844	101927990
TRDV1		NG_001332	28518
TRDV2		NG_001332	28517
TRDV3		NG_001332	28516
TRE-CTC1-1	TRNAE21		100189384
TRE-CTC1-2	TRNAE13		100189091
TRE-CTC1-3	TRNAE22		100189385
TRE-CTC1-4	TRNAE18		100189259
TRE-CTC1-5	TRNAE5		100189017
TRE-CTC1-6	TRNAE6		100189024
TRE-CTC1-7	TRNAE19		100189269
TRE-CTC2-1	TRNAE24		100189409
TRE-CTC3-1	TRNAE4		100189007
TRE-CTC4-1	TRNAE39P		100189506
TRE-CTC5-1	TRNAE17		100189236
TRE-CTC6-1	TRNAE25		100189417
TRE-CTC7-1	TRNAE36P	NG_008549	100189491
TRE-CTC8-1	TRNAE9		100189044
TRE-CTC9-1	TRNAE38P		100189494
TRE-CTC10-1	TRNAE43P		100189532
TRE-CTC11-1	TRNAE35P		100189488
TRE-CTC12-1	TRNAE27P		100189440
TRE-CTC13-1	TRNAE31P		100189459
TRE-CTC14-1	TRNAE28P		100189450
TRE-CTC15-1	TRNAE41P		100189527
TRE-CTC16-1	TRNAE42P	NG_008586	100189528
TRE-CTC17-1	TRNAE14		100189113
TRE-CTC18-1	TRNAE37P		100189492
TRE-TTC1-1	TRNAE26, TRE-TTC1-2		100189418
TRE-TTC1-2	TRNAE20, TRE-TTC1-1		100189333
TRE-TTC2-1	TRNAE7		100189030
TRE-TTC2-2	TRNAE11		100189063
TRE-TTC3-1	TRE, TRNAE1		7193
TRE-TTC4-1	TRNAE44		103456506
TRE-TTC4-2	TRNAE23		100189407
TRE-TTC5-1	TRNAE8		100189031
TRE-TTC6-1	TRNAE32P	NG_008523	100189465
TRE-TTC7-1	TRNAE30P	NG_008514	100189457
TRE-TTC8-1	TRNAE12		100189068
TRE-TTC8-2			
TRE-TTC9-1	TRNAE40P	NG_008576	100189518
TRE-TTC10-1	TRNAE29P	NG_008510	100189454
TRE-TTC11-1	TRNAE15		100189129
TRE-TTC12-1	TRNAE3		100189000
TRE-TTC13-1	TRNAE10		100189054
TRE-TTC14-1	TRNAE34P		100189485
TRE-TTC15-1	TRNAE33P		100189484
TRE-TTC16-1	TRNAE16		100189210
TREH		NM_007180	11181
TREHP1			768086
TREM1		NM_018643	54210
TREM2		NM_018965	54209
TREML1		NM_178174	340205
TREML2	C6orf76	NM_024807	79865
TREML3P	TREML3		340206
TREML4			285852
TREML5P	TREML2P, TREML2P1		221438
TRERF1	BCAR2	NM_033502	55809
TRERNA1	LINC00651	NR_051976	100887755
TRESMCR			
TREX1	AGS1	NM_016381	11277
TREX2		NM_080701	11219
TRF-GAA1-1	TRNAF3, TRF-GAA1-5		100189137
TRF-GAA1-2	TRNAF7, TRF-GAA1-6		100189254
TRF-GAA1-3	TRNAF11, TRF-GAA1-1		100189415
TRF-GAA1-4	TRNAF2, TRF-GAA1-2		100009606
TRF-GAA1-5	TRNAF6, TRF-GAA1-3		100189251
TRF-GAA1-6	TRNAF10, TRF-GAA1-4		100189306
TRF-GAA2-1	TRNAF1		100009605
TRF-GAA3-1	TRNAF5		100189170
TRF-GAA4-1	TRNAF9		100189293
TRF-GAA5-1	TRNAF4		100189145
TRF-GAA6-1	TRNAF8		100189262
TRF-GAA7-1	TRNAF12		100189421
TRF-GAA8-1	TRNAF13P		100189446
TRF-GAA9-1	TRNAF17P	NG_008591	100189533
TRF-GAA10-1	TRNAF16P	NG_008555	100189497
TRF-GAA11-1	TRNAF15P	NG_008530	100189472
TRF-GAA12-1	TRNAF14P	NG_008529	100189471
TRG	TCRG, TRG@	NG_001336	6965
TRG-AS1		NR_040085	100506776
TRG-CCC1-1	TRNAG37		103456505
TRG-CCC1-2	TRNAG28		100189298
TRG-CCC2-1	TRNAG22, TRG-CCC2-2		100189231
TRG-CCC2-2	TRG4, TRNAG4, TRG-CCC2-1		64717
TRG-CCC3-1	TRNAG26		100189277
TRG-CCC4-1	TRNAV35P, TRNAG36		100189486
TRG-CCC5-1	TRNAG10		100189045
TRG-CCC6-1	TRNAG34P	NG_008556	100189498
TRG-CCC7-1	TRNAG32P		100189458
TRG-CCC8-1			103539958
TRG-GCC1-1	TRNAG30		100189366
TRG-GCC1-2	TRNAG23		100189252
TRG-GCC1-3	TRNAG21		100189230
TRG-GCC1-4	TRNAG15		100189160
TRG-GCC1-5	TRNAG27		100189284
TRG-GCC2-1	TRNAG31		100189380
TRG-GCC2-2	TRNAG19, TRG-GCC2-5		100189208
TRG-GCC2-3	TRNAG29, TRG-GCC2-6		100189314
TRG-GCC2-4	TRNAG6, TRG-GCC2-2		100188985
TRG-GCC2-5	TRNAG16, TRG-GCC2-3		100189163
TRG-GCC2-6	TRG2, TRNAG2, TRG-GCC2-4		7196
TRG-GCC3-1	TRGL1, TRG5, TRNAG5		7198
TRG-GCC4-1	TRNAG25		100189274
TRG-GCC5-1	TRNAG20		100189220
TRG-GCC6-1	TRNAG12		100189081
TRG-TCC1-1	TRG3, TRNAG3		7197
TRG-TCC2-1	TRNAG11		100189064
TRG-TCC2-2	TRNAG24		100189260
TRG-TCC2-3	TRNAG13		100189141
TRG-TCC2-4	TRNAG17		100189188
TRG-TCC2-5	TRNAG9		100189039
TRG-TCC2-6	TRNAG8		100189011
TRG-TCC3-1	TRNAG18		100189206
TRG-TCC4-1	TRNAG7		100188997
TRG-TCC5-1	TRNAG33P	NG_008517	100189460
TRG-TCC6-1	TRNAG35P	NG_008569	100189511
TRGC1	TCRGC1	NG_001336	6966
TRGC2	TCRGC2	NG_001336	6967
TRGJ1	TCRGJ1	NG_001336	6968
TRGJ2	TCRGJ2	NG_001336	6969
TRGJP	TCRGJP	NG_001336	6970
TRGJP1	TCRGJP1	NG_001336	6971
TRGJP2	TCRGJP2	NG_001336	6972
TRGP1			
TRGV1	TCRGV1	NG_001336	6973
TRGV2	TCRGV2	NG_001336	6974
TRGV3	TCRGV3	NG_001336	6976
TRGV4	TCRGV4	NG_001336	6977
TRGV5	TCRGV5	NG_001336	6978
TRGV5P	TCRGV5P	NG_001336	6979
TRGV6	TCRGV6	NG_001336	6980
TRGV7	TCRGV7	NG_001336	6981
TRGV8	TCRGV8	NG_001336	6982
TRGV9	TCRGV9	NG_001336	6983
TRGV10	TCRGV10	NG_001336	6984
TRGV11	TCRGV11	NG_001336	6985
TRGVA	TCRGVA	NG_001336	6986
TRGVB	TCRGVB	NG_001336	6987
TRH		NM_007117	7200
TRH-GTG1-1	TRNAH4		100188991
TRH-GTG1-2	TRNAH10		100189334
TRH-GTG1-3	TRNAH9		100189307
TRH-GTG1-4	TRNAH7		100189174
TRH-GTG1-5	TRNAH3, TRH-GTG1-8		100188987
TRH-GTG1-6	TRNAH5, TRH-GTG1-9		100009607
TRH-GTG1-7	TRNAH1, TRH-GTG1-5		100188986
TRH-GTG1-8	TRNAH2, TRH-GTG1-6		100188988
TRH-GTG1-9	TRNAH6, TRH-GTG1-7		100189065
TRH-GTG2-1	TRNAH11		100189350
TRH-GTG3-1	TRNAH8		100189242
TRHDE		NM_013381	29953
TRHDE-AS1		NR_026836	283392
TRHR			7201
TRI-AAT1-1	TRNAI12		100189249
TRI-AAT2-1	TRNAI4		100189071
TRI-AAT3-1	TRNAI11		100189213
TRI-AAT4-1	TRNAI24		100189393
TRI-AAT5-1	TRNAI9, TRI-AAT5-3		100189153
TRI-AAT5-2	TRNAI20, TRI-AAT5-4		100189336
TRI-AAT5-3	TRNAI17, TRI-AAT5-5		100189310
TRI-AAT5-4	TRNAI15, TRI-AAT5-1		100189275
TRI-AAT5-5	TRNAI23, TRI-AAT5-2		100189387
TRI-AAT6-1	TRNAI22		100189372
TRI-AAT7-1	TRNAI8		100189148
TRI-AAT7-2	TRNAI25		100189401
TRI-AAT8-1	TRNAI5		100189095
TRI-AAT9-1	TRI, TRNAI1		7202
TRI-AAT10-1	TRNAI28P	NG_008519	100189462
TRI-AAT11-1	TRNAI29P	NG_008532	100189474
TRI-AAT12-1	TRNAI30P		100189481
TRI-GAT1-1	TRNAI7		100189132
TRI-GAT1-2	TRNAI3		100189050
TRI-GAT1-3	TRNAI26		100189427
TRI-TAT1-1	TRNAI18		100189324
TRI-TAT2-1	TRNAI13		100189265
TRI-TAT2-2	TRNAI2		100189028
TRI-TAT2-3	TRNAI6		100189131
TRI-TAT3-1	TRNAI21		100189348
TRIAP1		NM_016399	51499
TRIAP1P1	C10orf135		100289619
TRIB1		NM_025195	10221
TRIB2		NM_021643	28951
TRIB3	C20orf97	NM_021158	57761
TRIC5			
TRICY1			94014
TRIL		NM_014817	9865
TRIM2			23321
TRIM3	RNF22	NM_006458	10612
TRIM4		NM_033017	89122
TRIM5		NM_033034	85363
TRIM6		NM_001003818	117854
TRIM6-TRIM34		NM_001003819	445372
TRIM7		NM_203296	81786
TRIM8	RNF27	NM_030912	81603
TRIM9		NM_015163	114088
TRIM10	RNF9		10107
TRIM11		NM_145214	81559
TRIM13	RFP2	NM_001007278	10206
TRIM14		NM_014788	9830
TRIM15	ZNF178	NM_033229	89870
TRIM16		NM_006470	10626
TRIM16L		NM_001037330	147166
TRIM17	RNF16	NM_016102	51127
TRIM21	SSA1	NM_003141	6737
TRIM22		NM_006074	10346
TRIM23	ARFD1	NM_001656	373
TRIM24	TIF1	NM_015905	8805
TRIM25	ZNF147	NM_005082	7706
TRIM26	ZNF173	NM_003449	7726
TRIM26BP	TRIM26P		404024
TRIM27	RFP	NM_030950	5987
TRIM28		NM_005762	10155
TRIM29		NM_012101	23650
TRIM31			11074
TRIM31-AS1			104533120
TRIM32	LGMD2H	NM_012210	22954
TRIM33		NM_015906	51592
TRIM34	RNF21	NM_001003827	53840
TRIM35		NM_171982	23087
TRIM36		NM_018700	55521
TRIM36-IT1			100874338
TRIM37	MUL	NM_015294	4591
TRIM38	RNF15		10475
TRIM39	RNF23	NM_172016	56658
TRIM39-RPP21		NM_001199119.1	202658
TRIM40			135644
TRIM41		NM_201627	90933
TRIM42		NM_152616	287015
TRIM43		NM_138800	129868
TRIM43B			653192
TRIM43CP			643445
TRIM44		NM_017583	54765
TRIM45		NM_025188	80263
TRIM46		NM_025058	80128
TRIM47			91107
TRIM48			79097
TRIM49	RNF18	NM_020358	57093
TRIM49B			283116
TRIM49C	TRIM49L2	NM_001195234	642612
TRIM49D1	TRIM49DP, TRIM49D1P	NM_001206627	399939
TRIM49D2	TRIM49L, TRIM49L1, TRIM49D2P	NM_001105522	729384
TRIM50	TRIM50A	NM_178125	135892
TRIM51	SPRYD5	NM_032681	84767
TRIM51BP	SPRYD5P, SPRYD5P1	NG_011760	399937
TRIM51CP			100130105
TRIM51DP			100419945
TRIM51EP			399940
TRIM51FP			283257
TRIM51GP		NG_033009	120824
TRIM51HP			440041
TRIM51JP			643126
TRIM52		NM_032765	84851
TRIM52-AS1			100507602
TRIM53AP	TRIM53, TRIM53P	NR_028346	642569
TRIM53BP	TRIM53L, TRIM53B, TRIM80P	NM_001146208	642425
TRIM53CP			340970
TRIM54	RNF30	NM_187841	57159
TRIM55	RNF29	NM_184085	84675
TRIM56		NM_030961	81844
TRIM57			
TRIM58		NM_015431	25893
TRIM59	TRIM57	NM_173084	286827
TRIM60	RNF129, RNF33	NM_152620	166655
TRIM60P1Y	TRIM60PY1		100420362
TRIM60P2Y	TRIM60PY2		100420363
TRIM60P3Y	TRIM60PY3		100420364
TRIM60P4Y	TRIM60PY4		100420367
TRIM60P5Y	TRIM60PY5		100420368
TRIM60P6Y	TRIM60PY6		100420369
TRIM60P7Y	TRIM60PY7		100420370
TRIM60P8Y	TRIM60PY8		100420373
TRIM60P9Y	TRIM60PY9		100420374
TRIM60P10Y	TRIM60PY10		100420376
TRIM60P11Y	TRIM60PY11		100420377
TRIM60P12Y	TRIM60PY12		100420378
TRIM60P13			100132195
TRIM60P14			653794
TRIM60P15			100420405
TRIM60P16			100420412
TRIM60P17			100420414
TRIM60P18			100420415
TRIM60P19			100533672
TRIM61	RNF35	NM_001012414	391712
TRIM62		NM_018207	55223
TRIM63	RNF28	NM_032588	84676
TRIM64	C11orf28	NM_001136486	120146
TRIM64B			642446
TRIM64C			646754
TRIM64DP			727828
TRIM64EP			440061
TRIM64FP			390233
TRIM65		NM_173547	201292
TRIM66	C11orf29	NM_014818	9866
TRIM67		NM_001004342	440730
TRIM68	RNF137	NM_018073	55128
TRIM69	RNF36		140691
TRIM71		NM_001039111	131405
TRIM72		NM_001008274	493829
TRIM73	TRIM50B		375593
TRIM74	TRIM50C	NM_198853	378108
TRIM75P	TRIM75	NG_016722	391714
TRIM77	TRIM77P	NM_001146162	390231
TRIM77BP			646770
TRIM78P	TRIMP1		
TRIM80P			106480328
TRIML1		NM_178556	339976
TRIML2		NM_173553	205860
TRIO		NM_007118	7204
TRIOBP	DFNB28		11078
TRIP2			
TRIP4		NM_016213	9325
TRIP6		NM_003302	7205
TRIP10	STOT		9322
TRIP11			9321
TRIP12		NM_004238	9320
TRIP13		NM_004237	9319
TRIQK	C8orf83	NM_001171795	286144
TRIR	C19orf43	NM_024038	79002
TRIT1		NM_017646	54802
TRK-CTT1-1	TRNAK13		100189107
TRK-CTT1-2	TRNAK6		100189013
TRK-CTT2-1	TRNAK20		100189198
TRK-CTT2-2	TRNAK33, TRK-CTT2-3		100189399
TRK-CTT2-3	TRK2, TRNAK2, TRK-CTT2-4		790966
TRK-CTT2-4	TRNAK14, TRK-CTT2-5		100189110
TRK-CTT2-5	TRNAK26, TRK-CTT2-2		100189282
TRK-CTT3-1	TRNAK15		100189119
TRK-CTT4-1	TRNAK9		100189062
TRK-CTT5-1	TRNAK21		100189209
TRK-CTT6-1	TRNAK4		100188995
TRK-CTT7-1	TRNAL48, TRNAQ49P		101056699
TRK-CTT8-1	TRNAK24		100189244
TRK-CTT9-1	TRNAK18		100189180
TRK-CTT10-1	TRNAK30		100189367
TRK-CTT11-1	TRNAK28		100189311
TRK-CTT12-1	TRNAK36P	NG_008522	100189464
TRK-CTT13-1	TRNAK35P	NG_008599	100189439
TRK-CTT14-1	TRNAK37P	NG_008525	100189467
TRK-CTT15-1	TRNAK5		100188999
TRK-CTT16-1	TRNAK42P	NG_008594	100189536
TRK-TTT1-1	TRNAK17		100189125
TRK-TTT2-1	TRNAK27		100189294
TRK-TTT3-1	TRNAK16		100189122
TRK-TTT3-2	TRNAK34		100189425
TRK-TTT3-3	TRNAK22, TRK-TTT3-5		100189234
TRK-TTT3-4	TRNAK3, TRK-TTT3-3		100049613
TRK-TTT3-5	TRK1, TRNAK1, TRK-TTT3-4		7206
TRK-TTT4-1	TRNAK8		100189053
TRK-TTT5-1	TRNAK23		100189238
TRK-TTT6-1	TRNAK19		100189182
TRK-TTT7-1	TRNAK29		100189332
TRK-TTT8-1	TRNAK11		100189098
TRK-TTT9-1	TRNAK31		100189390
TRK-TTT10-1	TRNAK38P	NG_008538	100189480
TRK-TTT11-1	TRNAK12		100189104
TRK-TTT12-1	TRNAK7		100189051
TRK-TTT13-1	TRNAK43P	NG_008597	100189539
TRK-TTT14-1	TRNAK40P		100189514
TRK-TTT15-1	TRNAK39P	NG_008562	100189504
TRK-TTT16-1	TRNAK32		100189392
TRK-TTT17-1	TRNAK41P		100189519
TRL-AAG1-1	TRNAL34		100189362
TRL-AAG1-2	TRNAL24		100189273
TRL-AAG1-3	TRNAL4		100189004
TRL-AAG2-1	TRNAL32, TRL-AAG2-3		100189328
TRL-AAG2-2	TRNAL20, TRL-AAG2-4		100189202
TRL-AAG2-3	TRNP1, TRL1, TRNAL1, TRL-AAG2-1		7207
TRL-AAG2-4	TRNAL27, TRL-AAG2-2		100189291
TRL-AAG3-1	TRNAL17		100189169
TRL-AAG4-1	TRNAL12		100189118
TRL-AAG5-1	TRNAL9		100189043
TRL-AAG6-1	TRNAL39		100189429
TRL-AAG7-1	TRNAL43P	NG_008551	100189493
TRL-AAG8-1	TRNAL33		100189349
TRL-CAA1-1	TRNAL49		103456511
TRL-CAA1-2	TRNAL22		100189237
TRL-CAA2-1	TRNAL28		100189301
TRL-CAA3-1	TRNAL8		100189038
TRL-CAA4-1	TRNAL19		100189199
TRL-CAA5-1	TRNAL36		100189370
TRL-CAA6-1	TRNAL3		100189003
TRL-CAA7-1	TRNAL44P		100189499
TRL-CAG1-1	TRNAL38		100189394
TRL-CAG1-2	TRNAL5		100189009
TRL-CAG1-3	TRNAL30		100189316
TRL-CAG1-4	TRNAL35		100189364
TRL-CAG1-5	TRNAL14		100189139
TRL-CAG1-6	TRNAL6		100189018
TRL-CAG1-7	TRNAL26		100189288
TRL-CAG2-1	TRNAL13		100189130
TRL-CAG2-2	TRNAL11		100189089
TRL-CAG3-1	TRNAL21		100189204
TRL-TAA1-1	TRNAL29		100189313
TRL-TAA2-1	TRNAL16		100189164
TRL-TAA3-1	TRNAL23		100189240
TRL-TAA4-1	TRNAL10		100189067
TRL-TAA5-1	TRNAL18		100189175
TRL-TAG1-1	TRL2, TRNAL2		7208
TRL-TAG2-1	TRNAL15		100189151
TRL-TAG3-1	TRNAL7		100189032
TRL-TAG4-1	TRNAL40P	NG_008497	100189441
TRM-CAT1-1	TRNAM11		100189201
TRM-CAT2-1	TRNAM9		100189135
TRM-CAT3-1	TRNAM12		100189216
TRM-CAT3-2	TRNAM8		100189111
TRM-CAT4-1	TRNAM7		100189100
TRM-CAT4-2	TRNAM19		100189354
TRM-CAT4-3	TRNAM20		100189391
TRM-CAT5-1	TRNAM16		100189303
TRM-CAT6-1	TRNAM13		100189226
TRM-CAT7-1	TRNAM5		100189085
TRM2			
TRMA			
TRMEP1			
TRMO	C9orf156	NM_016481	51531
TRMT1		NM_017722	55621
TRMT1L	C1orf25	NM_030934	81627
TRMT2A		NM_022727	27037
TRMT2B	CXorf34	NM_024917	79979
TRMT2B-AS1			106481789
TRMT5	KIAA1393	NM_020810	57570
TRMT6			51605
TRMT9B	C8orf79, KIAA1456	NM_001099677	57604
TRMT10A	RG9MTD2	NM_152292	93587
TRMT10B	RG9MTD3	NM_144964	158234
TRMT10BP1			
TRMT10C	RG9MTD1	NM_017819	54931
TRMT11	C6orf75	NM_021820	60487
TRMT12		NM_017956	55039
TRMT13	CCDC76	NM_019083	54482
TRMT44	C4orf23, METTL19	NM_152544	152992
TRMT61A	C14orf172	NM_152307	115708
TRMT61B		NM_017910	55006
TRMT112		NM_016404	51504
TRMT112P1			100288861
TRMT112P2			106479033
TRMT112P3			729667
TRMT112P4			100288173
TRMT112P5			106480784
TRMT112P6			391358
TRMT112P7			100287567
TRMU	TRMT	NM_018006	55687
TRN-ATT1-1	TRNAN26		100189320
TRN-ATT1-2			103581030
TRN-GTT1-1	TRNAN14		100189126
TRN-GTT2-1	RNN, TRN, TRN1, TRNAN1		7214
TRN-GTT2-2	TRNAN32		100189402
TRN-GTT2-3	TRNAN11		100189083
TRN-GTT2-4	TRNAN7		100189036
TRN-GTT2-5	TRNAN17		100189176
TRN-GTT2-6	TRNAN20		100189195
TRN-GTT3-1	TRNAN27		100189323
TRN-GTT3-2	TRNAN15		100189127
TRN-GTT4-1	TRN2, TRNAN2		791226
TRN-GTT5-1	TRNAN37		101822346
TRN-GTT6-1	TRN3, TRNAN3		791227
TRN-GTT7-1	TRNAN5		100189005
TRN-GTT8-1	TRNAN8		100189059
TRN-GTT9-1	TRNAN25		100189304
TRN-GTT9-2	TRNAN19		100189193
TRN-GTT10-1	TRNAN35P, TRNAN35	NG_008575	100189517
TRN-GTT11-1	TRNAN13		100189108
TRN-GTT11-2	TRNAN22		100189257
TRN-GTT12-1	TRNAN29		100189356
TRN-GTT13-1	TRNAN18		100189183
TRN-GTT14-1	TRNAN4		100188996
TRN-GTT15-1	TRNAN21		100189233
TRN-GTT15-2			
TRN-GTT16-1	TRNAN9		100189069
TRN-GTT16-2	TRNAN24		100189271
TRN-GTT16-3	TRNAN10		100189079
TRN-GTT16-4	TRNAN16		100189165
TRN-GTT16-5	TRNAN28		100189338
TRN-GTT17-1	TRNAN12		100189096
TRN-GTT18-1			103456509
TRN-GTT19-1	TRNAN30		100189381
TRN-GTT19-2			
TRN-GTT20-1	TRNAN23		100189266
TRN-GTT21-1	TRNAN38		100873961
TRN-GTT22-1	TRNAN36P	NG_008592	100189534
TRN-GTT23-1	TRNAN34P	NG_008548	100189490
TRNAC17			
TRNAE2	TREL1, TRE2		
TRNAG1	TRG1		
TRNAG14			
TRNAI10			
TRNAI14			
TRNAI16			
TRNAI19			
TRNAI27			
TRNAK10			
TRNAK25			
TRNAL25			
TRNAL47P	TRLP1, TRNAL47P		
TRNAMI2	TRM2, TRMI2, TRNAMI2		
TRNAN6			
TRNAN31			
TRNAN33			
TRNAQ4			
TRNAR13			
TRNAU1AP	TRSPAP1	NM_017846	54952
TRNAV13			
TRNAVP1	TRVP1		
TRNAVP2	TRVP2		
TRNAVP3	TRVP3		
TRNAVP4	TRVP4		
TRNL	RNNL		
TRNP1	C1orf225	NM_001013642	388610
TRNT1			51095
TRO		NM_016157	7216
TROAP		NM_005480	10024
TROB1			
TROB2			
TRP-AGG1-1	TRNAP5		100189020
TRP-AGG2-1	TRNAP4		100189019
TRP-AGG2-2	TRNAP13, TRP-AGG2-7		100189223
TRP-AGG2-3	TRNAP15, TRP-AGG2-8		100189276
TRP-AGG2-4	TRNAP6, TRP-AGG2-2		100189072
TRP-AGG2-5	TRNP1, TRP1, TRNAP1, TRP-AGG2-3		7217
TRP-AGG2-6	TRNP1, TRP2, TRNAP2, TRP-AGG2-4		7218
TRP-AGG2-7	TRNAP9, TRP-AGG2-5		100189136
TRP-AGG2-8	TRNAP18, TRP-AGG2-6		100189296
TRP-AGG3-1	TRNAP20		100189361
TRP-AGG4-1	TRNAP28P	NG_008588	100189530
TRP-AGG5-1	TRNAP25P		100189482
TRP-AGG6-1	TRNAP24P		100189476
TRP-CGG1-1	TRNAP11		100189211
TRP-CGG1-2	TRNAP12		100189221
TRP-CGG1-3	TRNAP8		100189124
TRP-CGG2-1	TRNAP10		100189172
TRP-GGG1-1	TRNAP22P		100189455
TRP-TGG1-1	TRNAP17		100189286
TRP-TGG2-1	TRNAP14		100189224
TRP-TGG3-1	TRP3, TRNAP3, TRP-TGG3-5		7219
TRP-TGG3-2	TRNAP7, TRP-TGG3-1		100189088
TRP-TGG3-3	TRNAP19, TRP-TGG3-2		100189335
TRP-TGG3-4	TRNAP21, TRP-TGG3-3		100189388
TRP-TGG3-5	TRNAP16, TRP-TGG3-4		100189281
TRP-TGG4-1	TRNAP26P	NG_008541	100189483
